datetime,open,high,low,close,adj_close,volume
2004-06-01,0.4962500035762787,0.5035709738731384,0.4930360019207001,0.5010709762573242,0.4231419861316681,182134400.0
2004-06-02,0.5005360245704651,0.5208929777145386,0.4964289963245392,0.5164290070533752,0.4361116290092468,318712800.0
2004-06-03,0.5128570199012756,0.51767897605896,0.5051789879798889,0.5071430206298828,0.42826971411705017,250930400.0
2004-06-04,0.5099999904632568,0.5223209857940674,0.5091069936752319,0.513929009437561,0.43400025367736816,399112000.0
2004-06-05,0.5128570000330607,0.5266663233439127,0.5108926693598429,0.5200596650441488,0.4391775031884511,364700000.0
2004-06-06,0.5157140096028646,0.5310116608937582,0.512678345044454,0.5261903206507365,0.4443547526995341,330288000.0
2004-06-07,0.5185710191726685,0.5353569984436035,0.5144640207290649,0.5323209762573242,0.44953200221061707,295876000.0
2004-06-08,0.535535991191864,0.5435709953308105,0.53267902135849,0.5419639945030212,0.45767518877983093,415620800.0
2004-06-09,0.5373209714889526,0.5483930110931396,0.5357139706611633,0.5392860174179077,0.4554138481616974,349204800.0
2004-06-10,0.5392860174179077,0.5530359745025635,0.5392860174179077,0.54892897605896,0.46355682611465454,257577600.0
2004-06-11,0.5412947684526443,0.5517412275075912,0.53616102039814,0.5461609810590744,0.46121934056282043,254179800.0
2004-06-12,0.543303519487381,0.550446480512619,0.5330360233783722,0.5433929860591888,0.45888185501098633,250782000.0
2004-06-13,0.5453122705221176,0.5491517335176468,0.5299110263586044,0.5406249910593033,0.4565443694591522,247384200.0
2004-06-14,0.5473210215568542,0.5478569865226746,0.5267860293388367,0.5378569960594177,0.4542068839073181,243986400.0
2004-06-15,0.5453569889068604,0.5560709834098816,0.5403569936752319,0.5480359792709351,0.46280282735824585,444634400.0
2004-06-16,0.5475000143051147,0.5950000286102295,0.545179009437561,0.5846430063247681,0.4937165677547455,909641600.0
2004-06-17,0.5814290046691895,0.5916069746017456,0.5751789808273315,0.5858929753303528,0.4947720766067505,551320000.0
2004-06-18,0.5832139849662781,0.5966070294380188,0.5791069865226746,0.5876790285110474,0.4962805211544037,406252000.0
2004-06-19,0.5859523216883341,0.5971426765124003,0.5772616664568583,0.5842263499895731,0.4933647910753886,400905866.6666667
2004-06-20,0.5886906584103903,0.5976783235867819,0.5754163463910421,0.580773671468099,0.4904490609963735,395559733.3333333
2004-06-21,0.5914289951324463,0.5982139706611633,0.5735710263252258,0.5773209929466248,0.4875333309173584,390213600.0
2004-06-22,0.5767859816551208,0.5908929705619812,0.5766069889068604,0.5892860293388367,0.49763745069503784,360511200.0
2004-06-23,0.5892860293388367,0.6041070222854614,0.5873209834098816,0.6017860174179077,0.5081934332847595,390868800.0
2004-06-24,0.5983930230140686,0.6017860174179077,0.5889289975166321,0.5924999713897705,0.5003513693809509,252515200.0
